file,sloc,
agents.dfy,236,
network.dfy,28,
proof_agreement.dfy,243,
proof_agreement_invariants.dfy,335,
proof_helper.dfy,175,
proof_validity.dfy,77,
scratch.dfy,337,
synod.dfy,281,
types.dfy,39,
